sample,Ciprofloxacin,Clindamycin,Erythromycin,FusidicAcid,Gentamicin,Methicillin,Mupirocin,Penicillin,Rifampicin,Tetracycline,Trimethoprim,Vancomycin
28103_1#10,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#100,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#102,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#108,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#110,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#116,S,S,S,R,S,S,S,R,S,S,S,S
28103_1#120,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#124,S,R,R,S,S,S,S,S,S,S,S,S
28103_1#128,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#130,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#136,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#138,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#144,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#146,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#152,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#154,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#159,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#16,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#161,S,S,S,R,S,S,S,S,S,S,S,S
28103_1#167,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#169,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#175,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#177,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#18,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#183,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#188,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#192,S,S,S,R,S,S,S,S,S,S,S,S
28103_1#196,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#198,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#2,S,R,R,S,S,S,S,S,S,S,S,S
28103_1#204,S,S,R,S,S,S,S,R,S,S,S,S
28103_1#206,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#212,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#214,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#220,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#222,S,S,S,R,S,S,S,R,S,R,S,S
28103_1#227,S,S,S,S,S,S,S,r,S,S,S,S
28103_1#229,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#234,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#237,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#24,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#242,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#246,S,R,R,S,S,S,S,S,S,S,S,S
28103_1#249,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#254,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#255,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#26,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#261,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#263,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#267,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#270,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#275,S,S,S,R,S,S,S,S,S,S,S,S
28103_1#278,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#283,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#285,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#291,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#293,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#299,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#301,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#307,S,S,S,R,S,S,S,R,S,S,S,S
28103_1#312,S,S,S,S,S,R,S,R,S,S,S,S
28103_1#315,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#32,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#320,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#321,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#327,S,S,R,S,S,S,S,R,S,S,S,S
28103_1#329,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#335,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#337,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#34,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#343,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#345,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#351,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#353,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#359,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#361,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#367,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#372,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#375,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#380,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#40,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#42,S,S,S,R,S,S,S,S,S,S,S,S
28103_1#48,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#50,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#56,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#60,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#64,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#68,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#70,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#76,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#78,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#8,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#84,S,S,S,R,S,S,S,R,S,R,S,S
28103_1#86,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#92,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#94,S,S,S,S,S,R,S,R,S,S,S,S
28632_2#1,R,S,S,S,S,S,S,R,S,S,S,S
28632_2#10,S,R,R,S,S,S,S,R,S,S,S,S
28632_2#103,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#104,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#110,S,S,S,S,S,R,S,R,S,S,S,S
28632_2#111,R,S,S,R,S,S,S,S,S,S,S,S
28632_2#116,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#118,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#120,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#125,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#127,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#130,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#135,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#136,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#139,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#14,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#142,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#146,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#150,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#154,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#158,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#162,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#168,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#170,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#175,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#176,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#181,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#182,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#187,S,S,S,R,S,S,S,R,S,S,S,S
28632_2#188,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#19,S,S,S,R,S,S,S,R,S,S,S,S
28632_2#195,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#196,R,S,S,S,S,S,S,R,S,S,S,S
28632_2#20,S,S,R,S,S,S,S,R,S,S,S,S
28632_2#202,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#204,S,S,S,S,S,R,S,R,S,S,S,S
28632_2#209,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#212,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#216,S,R,R,S,S,S,S,R,S,S,S,S
28632_2#219,S,R,R,S,S,S,S,R,S,S,S,S
28632_2#222,S,R,R,S,S,S,S,S,S,S,S,S
28632_2#226,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#228,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#231,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#238,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#24,S,S,S,R,S,S,S,S,S,S,S,S
28632_2#240,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#245,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#26,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#271,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#280,S,S,S,R,S,S,S,R,S,R,S,S
28632_2#281,S,S,S,S,S,R,S,R,S,S,S,S
28632_2#284,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#287,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#289,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#29,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#290,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#292,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#294,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#297,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#31,S,S,S,R,S,S,S,R,S,R,S,S
28632_2#33,S,S,S,S,S,R,S,R,S,S,S,S
28632_2#37,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#4,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#40,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#43,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#48,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#5,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#50,S,S,S,R,S,S,S,S,S,S,S,S
28632_2#55,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#58,S,R,R,S,S,S,S,R,S,S,r,S
28632_2#61,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#67,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#83,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#84,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#9,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#90,S,S,S,S,S,S,S,S,S,S,S,S
28632_2#92,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#97,S,S,S,S,S,S,S,R,S,S,S,S
28632_2#99,S,S,S,R,S,S,S,R,S,S,S,S
30602_6#101,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#105,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#110,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#114,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#118,S,R,R,S,S,S,S,R,S,S,S,S
30602_6#12,S,S,S,S,S,S,S,S,S,S,S,S
30602_6#122,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#126,S,S,S,R,S,S,S,R,S,S,S,S
30602_6#130,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#134,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#138,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#142,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#146,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#150,S,R,R,S,S,S,S,R,S,S,S,S
30602_6#154,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#158,S,S,S,S,S,S,S,S,S,S,S,S
30602_6#16,S,R,R,S,S,S,S,R,S,S,S,S
30602_6#162,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#166,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#170,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#174,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#178,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#182,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#186,S,R,R,S,S,S,S,R,S,S,S,S
30602_6#190,S,S,S,S,S,S,S,S,S,S,S,S
30602_6#194,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#198,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#20,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#203,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#207,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#21,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#211,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#215,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#219,S,S,R,R,S,S,S,R,S,S,S,S
30602_6#222,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#226,S,S,S,S,S,S,S,S,S,S,S,S
30602_6#231,S,S,S,S,S,S,S,S,S,S,S,S
30602_6#235,S,R,R,S,S,S,S,R,S,S,S,S
30602_6#239,S,R,R,S,S,S,S,S,S,S,S,S
30602_6#243,S,S,S,S,S,S,S,S,S,S,S,S
30602_6#247,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#25,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#251,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#255,S,S,S,S,S,S,S,S,S,S,S,S
30602_6#259,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#263,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#267,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#271,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#275,S,S,S,S,S,S,S,R,S,S,S,S
30602_6#279,S,S,S,S,S,S,S,R,S,S,S,S
